SpecimenID,Family,Order,Genus,Species,SpeciesCode,j_fg,Site,Region,TL,SL,FL,wt,length.cm.,a..cm.,b..cm.,calc_wt,gh,gw,dissected_by,stomach_contents,prey_size,coll_notes,dis_notes,ga,gh_ratio,gw_ratio,ga_ratio,observer_id
KIF11_328,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,32,HP.HF,91.4,79.3,84.5,7.4,NA,NA,NA,NA,7.8,8.8,KP,empty,,tail broken,tail broken,53.90972994,0.098360656,0.110970996,0.008572762,10
KIF11_340,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,11,LP.LF,183,149,162,77.1,NA,NA,NA,NA,17,14,KP,empty,,,,186.9247629,0.11409396,0.093959732,0.008419655,10
KIF11_341,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,11,LP.LF,209,168,182,105.2,NA,NA,NA,NA,17,14.5,KP,empty,,both otoliths broken,both otoliths broken,193.6006473,0.101190476,0.086309524,0.006859433,10
KIF11_342,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,11,LP.LF,195,162,171,88.9,NA,NA,NA,NA,15.5,13.1,KP,empty/intestine full,,shot through eye,shot through eye,159.4750971,0.095679012,0.080864198,0.006076631,10
KIF11_343,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,11,LP.LF,232,191,203,167.2,NA,NA,NA,NA,17.8,14,KP,empty/intestine full,,1 otolith broken,1 otolith broken,195.7212223,0.093193717,0.073298429,0.005365018,10
KIF11_345,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,11,LP.LF,184,155,166,84.8,NA,NA,NA,NA,15.2,13.3,KP,empty/intestine full,,,,158.7760927,0.098064516,0.085806452,0.006608786,10
KIF11_495,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,30,HP.HF,86,72,72.8,5.4,NA,NA,NA,NA,7.2,5.6,AO/KP,small crustaceans <1mm,,,,31.66725395,0.1,0.077777778,0.006108652,5
KIF11_496,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,30,HP.HF,NA,73.7,NA,6,NA,NA,NA,NA,9.2,7.1,AO/KP,small crustaceans <1mm,,broken tail,broken tail,51.30220803,0.124830393,0.096336499,0.009444981,5
KIF11_1077,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,30,HP.HF,NA,70.3,75.8,4.8,NA,NA,NA,NA,5.5,3.1,AO/KP,whole stomach retained,,tail broken,tail broken,13.39103869,0.078236131,0.044096728,0.00270959,5
KIF11_1078,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,30,HP.HF,90.9,71,82.4,6.8,NA,NA,NA,NA,6,3.3,AO/KP,whole stomach retained,,,,15.55088364,0.084507042,0.046478873,0.003084881,5
KIF11_1079,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,30,HP.HF,78.3,65.7,70,4.6,NA,NA,NA,NA,6.1,3,AO/KP,whole stomach retained,,,,14.37278639,0.092846271,0.0456621,0.003329739,5
KIF12_227,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,6,HP.LF,191,155,171,88.1,NA,NA,NA,NA,21.6,16.1,AB,gutshot,,,,273.1300653,0.139354839,0.103870968,0.011368577,2
KIF12_265,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,40,HP.MF,170.3,137,151.5,62.5,NA,NA,NA,NA,16.9,14.7,AB,empty gut,,,,195.1164657,0.123357664,0.10729927,0.010395677,2
KIF12_284,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,40,HP.MF,226,185,202,145.4,NA,NA,NA,NA,18,18.8,AB,mushed crustacean remains,,,,265.7787385,0.097297297,0.101621622,0.007765632,2
KIF12_318,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,15,LP.LF,142,116.6,123.3,28.6,NA,NA,NA,NA,10.5,10.8,RT,,,otoliths in fragments,otoliths in fragments,89.06415173,0.090051458,0.092624357,0.006550973,14
KIF12_320,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,15,LP.LF,169,136.2,149,51.3,NA,NA,NA,NA,15.7,14,SC,pulverized little crustaceans,,,,172.6305163,0.115271659,0.102790015,0.009306007,19
KIF12_355,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,6,HP.LF,220,181,190,126.4,NA,NA,NA,NA,13.5,16.7,RT,crustacean goop,,,,177.0680159,0.074585635,0.092265193,0.005404842,14
KIF12_356,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,6,HP.LF,159.5,130.7,139.5,51,NA,NA,NA,NA,15,16.4,AB,orange mush,,,,193.2079482,0.114766641,0.125478194,0.011310292,2
KIF12_357,Caesionidae,Perciformes,Pterocaesio,tile,PT.TILE,ZP,6,HP.LF,249,202,219,197.4,NA,NA,NA,NA,21.6,22,SC,mushed up crustaceans,,both otoliths broken,both otoliths broken,373.2212072,0.106930693,0.108910891,0.009146682,19
KIF11_084,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,315,265,295,574.8,NA,NA,NA,NA,31,23.6,RT,,,,,574.5972963,0.116981132,0.089056604,0.008182233,14
KIF11_039,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,8,HP.LF,285,245,NA,409.1,NA,NA,NA,NA,21.3,14,RT,gut speared; no stomach to sample,,,,234.2057323,0.086938776,0.057142857,0.003901803,14
KIF11_040,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,8,HP.LF,365,285,340,840.4,NA,NA,NA,NA,24.4,19.6,RT,"typical parrotfish gut content; highly reticulated intestines, difficult to see stomach",,,,375.6088177,0.085614035,0.06877193,0.004624301,14
KIF11_087,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,35,HP.LF,325,262,305,602.5,NA,NA,NA,NA,27.3,17.3,RT,parrotfish grit,,,,370.9356986,0.104198473,0.066030534,0.00540376,14
KIF11_088,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,35,HP.LF,346,265,323,734.6,NA,NA,NA,NA,36,25,SC,parrotfish goo,,,,706.8583471,0.135849057,0.094339623,0.010065623,19
KIF11_102,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,15,LP.LF,477,370,435,1954,NA,NA,NA,NA,41,25.5,RT,typical scarid goop,,,,821.1337798,0.110810811,0.068918919,0.005998055,14
KIF11_103,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,15,LP.LF,375,312,355,850.1,NA,NA,NA,NA,31,18.4,,typical scarid goop,,,,447.9911124,0.099358974,0.058974359,0.004602144,1
KIF11_110,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,19,LP.LF,430,322,378,1234.6,NA,NA,NA,NA,39,25.1,,scarid goop,,,,768.8262621,0.121118012,0.077950311,0.007415091,1
KIF11_156,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,34,HP.LF,333,262,323,589.6,NA,NA,NA,NA,31.6,21.7,,scarid shit,,,,538.5632286,0.120610687,0.082824427,0.007845744,1
KIF11_157,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,34,HP.LF,217,180,215,201.5,NA,NA,NA,NA,17.1,14.6,,scarid shit,,,,196.0825055,0.095,0.081111111,0.006051929,1
KIF11_186,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,35,HP.LF,338,263,316,687.4,NA,NA,NA,NA,33.1,19.1,,typical scarid grit,,,,496.5365729,0.125855513,0.072623574,0.0071786,1
KIF11_187,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,35,HP.LF,300,252,286,557.1,NA,NA,NA,NA,23.1,20.4,,typical scarid grit,,,,370.1110305,0.091666667,0.080952381,0.005828153,1
KIF11_188,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,35,HP.LF,317,255,307,622.3,NA,NA,NA,NA,39.5,21.5,,typical scarid grit,,,,666.9993903,0.154901961,0.084313725,0.010257584,1
KIF11_190,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,411,315,382,1329,NA,NA,NA,NA,43.8,25.2,RT/SC,typical scarid goop,,,,866.8910768,0.139047619,0.08,0.00873662,18
KIF11_196,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,2,LP.MF,255,273,330,803.5,NA,NA,NA,NA,34.8,22,RT/SC,typical scarid goop,,,,601.3008339,0.127472527,0.080586081,0.008068012,18
KIF11_197,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,2,LP.MF,320,260,316,601.5,NA,NA,NA,NA,35.5,18.7,RT/SC,typical scarid goop,,,,521.3865708,0.136538462,0.071923077,0.007712819,18
KIF11_206,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,410,316,371,1204,NA,NA,NA,NA,37.6,23.3,RT/SC,typical scarid goop,,"gut shot, so weight is a minimum; gut sample sat out for a couple of days","gut shot, so weight is a minimum; gut sample sat out for a couple of days",688.071623,0.118987342,0.073734177,0.006890639,18
KIF11_223,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,15,LP.LF,410,328,390,1343.5,NA,NA,NA,NA,42.2,27.1,RT/SC,scarid shit,,,,898.1970476,0.128658537,0.082621951,0.008348798,18
KIF11_254,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,40,HP.MF,265,235,260,368.8,NA,NA,NA,NA,24.4,14,RT/SC,scarid shit,,,,268.2920126,0.103829787,0.059574468,0.004858162,18
KIF11_256,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,40,HP.MF,400,315,368,999.3,NA,NA,NA,NA,36,20.9,RT/SC,scarid shit,,,,590.9335781,0.114285714,0.066349206,0.005955491,18
KIF11_264,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,342,275,332,646.1,NA,NA,NA,NA,42.1,27.9,RT/SC,scarid shit,,,,922.5208287,0.153090909,0.101454545,0.012198623,18
KIF11_279,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,319,268,310,627.9,NA,NA,NA,NA,30,18.3,RT/SC,scarid shit,,,,431.1835917,0.111940299,0.068283582,0.006003336,18
KIF11_281,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,259,216,254,401.6,NA,NA,NA,NA,39.5,23,RT/SC,scarid shit,,,,713.5342314,0.18287037,0.106481481,0.015293515,18
KIF11_401,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,38,LP.MF,350,274,328,806.7,NA,NA,NA,NA,43,23,RT/SC,scarid shit,,,,776.7587836,0.156934307,0.083941606,0.0103463,18
KIF11_408,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,278,322,266,423.8,NA,NA,NA,NA,32.3,17.1,RT/SC,scarid shit,,,,433.7989676,0.100310559,0.05310559,0.004183856,18
KIF11_409,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,422,335,396,1130.9,NA,NA,NA,NA,44,28,RT/SC,scarid shit,,,,967.6105373,0.131343284,0.08358209,0.008622059,18
KIF11_415,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,299,243,288,547,NA,NA,NA,NA,34,21.9,RT/SC,scarid shit,,,,584.8074725,0.139917695,0.090123457,0.009903766,18
KIF11_446,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,40,HP.MF,395,301,365,1128.5,NA,NA,NA,NA,46.6,25,RT/SC,scarid shit,,,,914.9888604,0.154817276,0.083056478,0.010099103,18
KIF11_457,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,300,239,289,364.6,NA,NA,NA,NA,35.1,18.5,RT/SC,gut completely gone,,"gut completely gone and no pectorals, fin clip from tail","gut completely gone and no pectorals, fin clip from tail",509.9982974,0.146861925,0.077405858,0.008928385,18
KIF11_458,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,313,252,301,513,NA,NA,NA,NA,40.4,21.1,RT/SC,,,,,669.5048104,0.16031746,0.083730159,0.010542719,18
KIF11_459,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,296,235,284,463.5,NA,NA,NA,NA,36.3,19.1,RT/SC,,,,,544.5401086,0.154468085,0.081276596,0.009860391,18
KIF11_466,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,315,255,308,637.2,NA,NA,NA,NA,39.4,20.8,RT/SC,,,,,643.6495029,0.154509804,0.081568627,0.009898493,18
KIF11_467,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,222,180,219,220.7,NA,NA,NA,NA,21.7,14.7,RT/SC,,,,,250.5341601,0.120555556,0.081666667,0.007732536,18
KIF11_468,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,349,272,321,773.9,NA,NA,NA,NA,38,21.7,RT/SC,,,,,647.6393255,0.139705882,0.079779412,0.008753775,18
KIF11_476,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,10,LP.LF,335,271,326,641,NA,NA,NA,NA,37,19.7,RT/SC,,,,,572.4767213,0.136531365,0.072693727,0.007795056,18
KIF11_477,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,10,LP.LF,336,270,324,722.5,NA,NA,NA,NA,39.5,22.3,RT/SC,,,,,691.8179722,0.146296296,0.082592593,0.009489958,18
KIF11_478,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,10,LP.LF,344,278,330,867,NA,NA,NA,NA,31.3,23.1,RT/SC,,,,,567.8664341,0.112589928,0.083093525,0.007347788,18
KIF11_295,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,11,LP.LF,349,280,336,846.4,NA,NA,NA,NA,36.1,22.4,RT/SC,empty,,,,635.1043708,0.128928571,0.08,0.008100821,18
KIF11_296,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,11,LP.LF,307,241,207,537.5,NA,NA,NA,NA,32.7,21.4,RT/SC,,,,,549.6059268,0.135684647,0.08879668,0.009462749,18
KIF11_297,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,11,LP.LF,284,225,278,388.2,NA,NA,NA,NA,33.6,16,RT/SC,,,,,422.2300526,0.149333333,0.071111111,0.008340347,18
KIF11_1087,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,30,HP.HF,117,108,115,28.9,NA,NA,NA,NA,7.3,7.2,AO/KP,whole stomach retained,,,,41.28052747,0.067592593,0.066666667,0.00353914,5
KIF12_048,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,290,261,287,460,NA,NA,NA,NA,6.8,9.9,AB,green goop,NA,These gape sizes seem totally off (likely measured incorrectly by AB),These gape sizes seem totally off (likely measured incorrectly by AB),52.87300436,0.02605364,0.037931034,7.76E-04,2
KIF12_049,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,9,HP.MF,285.5,225,277.3,380,NA,NA,NA,NA,32.5,19.1,SC,,NA,,,487.5359099,0.144444444,0.084888889,0.009630339,19
KIF12_271,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,8,HP.LF,298,230,287,490,NA,NA,NA,NA,32,21.4,LW,brown shit,,**check species in photo,**check species in photo,537.8406623,0.139130435,0.093043478,0.01016712,12
KIF12_302,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,3,LP.MF,231,185,227,200,NA,NA,NA,NA,26.9,15.2,SC,parrotfish shit,,,,321.133601,0.145405405,0.082162162,0.009383012,19
KIF12_329,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,15,LP.LF,323,267,312,620,NA,NA,NA,NA,41.9,28.5,AB,green parrot shit,,,,937.8832168,0.156928839,0.106741573,0.013156072,2
KIF12_373,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,15,LP.LF,295,243,290,500,NA,NA,NA,NA,31.8,20.1,LW,parrot shit,,,,502.0107981,0.130864198,0.082716049,0.008501597,12
KIF12_374,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,302,253,297,560,NA,NA,NA,NA,39.1,19.9,AB,parrot shit,,,,611.110457,0.154545455,0.078656126,0.009547258,2
KIF12_375,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,293,236,288,505,NA,NA,NA,NA,36.3,28.5,LW,brown shit,,,,812.5336699,0.153813559,0.120762712,0.014588726,12
KIF12_376,Labridae,Perciformes,Scarus,frenatus,SC.FREN,HE/DE,24,LP.MF,281,235,275,480,NA,NA,NA,NA,37.2,23.5,AB,parrot shit,,otoliths in fragments,otoliths in fragments,686.5950744,0.158297872,0.1,0.012432686,2
KIF11_076,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,300,235,274,445.1,NA,NA,NA,NA,48.5,32.9,RT,empty; hindgut: mollusk and crustacean parts,,,,1253.220579,0.206382979,0.14,0.022692994,14
KIF11_014,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,34,HP.LF,225,174,194,180,NA,NA,NA,NA,32.13,27.15,SC,gastropod shells,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",685.1259872,0.184655172,0.156034483,0.022629343,19
KIF11_016,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,34,HP.LF,241,186,208,253.1,NA,NA,NA,NA,37.29,32.92,SC,undigested shells and urchin spines in hind gut,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",964.1444181,0.200483871,0.176989247,0.027868667,19
KIF11_021,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,290,227,253,462.8,NA,NA,NA,NA,38.39,36.09,SC,"mollusc shells, gastropods, apparently chiton plates",,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",1088.165307,0.169118943,0.158986784,0.021117532,19
KIF11_022,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,283,217,245,483.8,NA,NA,NA,NA,36.55,36.99,RT,urchin and mollusk fragments in hindgut; stomach empty,,"sat out on ice for 36 hours before dissection; no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","sat out on ice for 36 hours before dissection; no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",1061.846143,0.16843318,0.170460829,0.022549771,14
KIF11_023,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,221,170,198,189.4,NA,NA,NA,NA,28.32,27.96,SC,unidentifiable grainy pieces,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",621.8996286,0.166588235,0.164470588,0.021519018,19
KIF11_024,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,265,206,230,351.4,NA,NA,NA,NA,30.47,32.15,SC,"urchin (E.mat) spines in hindgut, goop in stomach",,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",769.3842875,0.147912621,0.156067961,0.018130462,19
KIF11_032,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,9,HP.MF,288,220,252,450,NA,NA,NA,NA,48,43,SC,"gastropod and crustacean bits, urchin spines",,sat out on ice for 36 hours before dissection,sat out on ice for 36 hours before dissection,1621.061809,0.218181818,0.195454545,0.033493013,19
KIF11_043,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,6,HP.LF,350,275,305,691.1,NA,NA,NA,NA,44.7,39.2,RT,"stomach empty; hindgut full of hard parts (crabs, mollusks)",,,,1376.206078,0.162545455,0.142545455,0.018197766,14
