SpecimenID,SpeciesCode,Family,FunctionalGroup,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,CollectionNotes,j_prey_size,PreyType,PreySize,DissectionNotes,
CEPURO056,CE.UROD,Serranidae,Pi,25,64 - 128 g,114,151,,,187,187,amy.laura,also 4mm crab carapace,4,invert,26,also 4mm crab carapace,
CEPURO057,CE.UROD,Serranidae,Pi,25,32 - 64 g,46,122,,,149,149,amy.laura,NA,14,fish,14,NA,
CEPURO059,CE.UROD,Serranidae,Pi,25,64 - 128 g,95,148,,,183,183,amy.laura,NA,34,fish,34,NA,
EPIHEX001,EP.HEXA,,Pi,15,64 - 128 g,118,162,,,200,200,rowan.drew,NA,4,fish,4,NA,
MONGRA005,MO.GRAN,Lethrinidae,BI,9,256 - 512 g,279,191,,,248,213,amy,snail shells 2-3mm in intestine,3,invert,NA,snail shells 2-3mm in intestine,
LUTKAS004,LU.KASM,,Pi,Wreck,128 - 256 g,142,160,,,205,288,amy,NA,25,fish,25,NA,
PARINS002,PA.INSU,Mullidae,BI,7,256 - 512 g,451,249,,,323,276,amy,NA,10,fish,10,NA,
PARINS004,PA.INSU,Mullidae,BI,26,512 - 1024 g,524,274,,,323,288,amy,NA,4,fish,4,NA,
PARINS005,PA.INSU,Mullidae,BI,3,256 - 512 g,416,255,,,320,278,amy,NA,30,fish,30,NA,
PARINS007,PA.INSU,Mullidae,BI,26,512 - 1024 g,618,272,,,337,298,amy,NA,50,fish,50,NA,
EPIHEX007,EP.HEXA,,Pi,3,128 - 256 g,237,229,,,255,255,drew.rowan,NA,61,fish,61,NA,
EPITAU006,EP.TAUV,,AP,30,256 - 512 g,417,242,,,290,290,drew.rowan,NA,20,fish,20,NA,
EPITAU007,EP.TAUV,,AP,26,512 - 1024 g,658,275,,,310,310,drew.rowan,NA,20,fish,20,NA,
EPIHEX011,EP.HEXA,,Pi,8,128 - 256 g,250,223,,,261,261,drew.rowan,NA,11,fish,11,NA,
PARINS008,PA.INSU,Mullidae,BI,14,256 - 512 g,378,240,,,298,261,amy,,12,fish,12,,
PARINS009,PA.INSU,Mullidae,BI,25,128 - 256 g,168,187,,,237,208,amy,NA,5,fish,5,NA,
PARINS010,PA.INSU,Mullidae,BI,14,256 - 512 g,409,240,,,300,264,amy,NA,10,fish,10,NA,
PARINS011,PA.INSU,Mullidae,BI,30,256 - 512 g,296,223,,,272,241,amy,NA,4,fish,4,NA,
PARINS012,PA.INSU,Mullidae,BI,30,256 - 512 g,303,220,,,271,237,amy,NA,30,fish,30,NA,
PARINS013,PA.INSU,Mullidae,BI,14,128 - 256 g,213,192,,,238,208,amy,NA,3.5,fish,3.5,NA,
PARINS014,PA.INSU,Mullidae,BI,14,256 - 512 g,316,222,,,266,245,amy,NA,30,fish,30,NA,
PARINS015,PA.INSU,Mullidae,BI,14,256 - 512 g,310,214,,,270,240,amy,NA,5,fish,5,NA,
PARINS016,PA.INSU,Mullidae,BI,34,512 - 1024 g,526,209,,,349,301,rowan.laura,NA,20,fish,20,NA,
PARINS017,PA.INSU,Mullidae,BI,14,256 - 512 g,422,240,,,300,272,rowan.laura,NA,3,fish,3,NA,
PARINS018,PA.INSU,Mullidae,BI,25,128 - 256 g,180,190,,,235,210,rowan.laura,NA,20,fish,20,NA,
PARINS019,PA.INSU,Mullidae,BI,25,256 - 512 g,266,220,,,266,234,rowan.laura,NA,20,fish,20,NA,
PARINS020,PA.INSU,Mullidae,BI,25,128 - 256 g,163,180,,,224,189,rowan.laura,NA,8,fish,8,NA,
PARINS021,PA.INSU,Mullidae,BI,25,256 - 512 g,314,230,,,270,241,rowan.laura,NA,10,fish,10,NA,
PARINS023,PA.INSU,Mullidae,BI,25,128 - 256 g,193,200,,,241,215,rowan.laura,NA,12,fish,12,NA,
PARINS024,PA.INSU,Mullidae,BI,14,256 - 512 g,476,260,,,333,284,amy,NA,0.3,fish,0.3,NA,
MONGRA012,MO.GRAN,Lethrinidae,BI,30,256 - 512 g,294,190,,,250,220,amy,NA,2,fish,2,NA,
MONGRA013,MO.GRAN,Lethrinidae,BI,30,128 - 256 g,250,187,,,244,217,amy,NA,3,fish,3,NA,
PRIHAR1,PR.HAMR,,ZP,30,256 - 512 g,488,250,,,339,310,amy,NA,15,fish,15,NA,
PARINS025,PA.INSU,Mullidae,BI,35,512 - 1024 g,581,272,,,340,303,amy,NA,12,fish,12,NA,
PARINS026,PA.INSU,Mullidae,BI,30,128 - 256 g,211,204,,,250,223,amy,NA,5,fish,5,NA,
PARINS028,PA.INSU,Mullidae,BI,30,128 - 256 g,214,203,,,252,221,amy,NA,5,fish,5,NA,
PARINS029,PA.INSU,Mullidae,BI,30,128 - 256 g,129,179,,,226,197,amy,NA,5,fish,5,NA,
PARINS030,PA.INSU,Mullidae,BI,30,128 - 256 g,215,201,,,254,216,amy,NA,5,fish,5,NA,
PARINS031,PA.INSU,Mullidae,BI,30,128 - 256 g,164,187,,,233,203,amy,NA,15,fish,15,NA,
PARINS032,PA.INSU,Mullidae,BI,26,256 - 512 g,383,240,,,304,264,amy,NA,10,fish,10,NA,
PARINS033,PA.INSU,Mullidae,BI,26,512 - 1024 g,514,255,,,325,282,amy,NA,23,fish,23,NA,
MONGRA014,MO.GRAN,Lethrinidae,BI,8,256 - 512 g,308,203,,,260,225,amy,NA,3,fish,3,NA,
EPISPI003,EP.SPIL,,Pi,35,128 - 256 g,196,200,,,245,245,amy,NA,9,fish,9,NA,
PARINS036,PA.INSU,Mullidae,BI,30,128 - 256 g,216,192,,,245,213,amy,NA,25,fish,25,NA,
PARINS037,PA.INSU,Mullidae,BI,30,128 - 256 g,197,204,,,257,221,amy,NA,7,fish,7,NA,
PTETIL002,PT.TILE,Caesionidae,ZP,30,128 - 256 g,147,184,,,229,200,amy,NA,1,fish,1,NA,
EPISPI004,EP.SPIL,,Pi,27,128 - 256 g,161,181,,,220,220,amy,NA,30,fish,30,NA,
KIF11_009,PA.INSU,Mullidae,BI,30,512 - 1024 g,565.5,260,30.14,40.86,327,285,SC,date of processing not certain,20,fish,"20, 30",date of processing not certain,
KIF11_009,PA.INSU,Mullidae,BI,30,512 - 1024 g,565.5,260,30.14,40.86,327,285,SC,date of processing not certain,30,fish,"20, 30",date of processing not certain,
KIF11_025,LU.BOHA,Lutjanidae,AP,35,64 - 128 g,110.6,149,33.84,32.36,189,172,SC,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",60,fish,60,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018",
KIF11_100,LU.BOHA,Lutjanidae,AP,19,2.05 - 4.10 kg,3000,485,76,93.5,585,552,RT,,50,fish,50 to 120,,
KIF11_100,LU.BOHA,Lutjanidae,AP,19,2.05 - 4.10 kg,3000,485,76,93.5,585,552,RT,,120,fish,50 to 120,,
KIF11_101,LU.BOHA,Lutjanidae,AP,19,2.05 - 4.10 kg,2420,455,76,84.7,530,510,RT,,40,fish,40 to 60,,
KIF11_101,LU.BOHA,Lutjanidae,AP,19,2.05 - 4.10 kg,2420,455,76,84.7,530,510,RT,,60,fish,40 to 60,,
KIF11_195,PA.INSU,Mullidae,BI,2,128 - 256 g,201.1,215,34,38,263,233,RT/SC,multifsciatus?,8,fish,8mm,multifsciatus?,
KIF11_202,PA.INSU,Mullidae,BI,3,256 - 512 g,292.5,222,28.9,34,262,240,RT/SC,"tail was damaged, TL is a minimum",5,fish,5mm,"tail was damaged, TL is a minimum",
KIF11_203,PA.INSU,Mullidae,BI,3,256 - 512 g,311.6,222,28.5,37.6,278,245,RT/SC,,8,fish,8mm,,
KIF11_204,PA.INSU,Mullidae,BI,3,128 - 256 g,234.5,203,26.3,32.7,250,226,RT/SC,,11,fish,11mm,,
KIF11_205,PA.INSU,Mullidae,BI,3,256 - 512 g,306.5,217,28.6,33.5,270,241,RT/SC,,30,fish,30mm,,
KIF11_207,CA.ORTH,Carangidae,AP,3,1.02 - 2.05 kg,1732.5,395,50.6,55.1,485,430,RT/SC,,31,fish,31mm,,
KIF11_212,CE.UROD,Serranidae,Pi,15,64 - 128 g,98,145,39.5,37.6,176,None,RT/SC,,80,fish,80mm,,
KIF11_228,LU.BOHA,Lutjanidae,AP,15,2.05 - 4.10 kg,2920,465,78,72,575,530,RT/SC,,45,fish,>45mm,,
KIF11_237,PA.INSU,Mullidae,BI,40,256 - 512 g,279,223,32.7,36.7,282,252,RT/SC,,10,fish,10mm,,
KIF11_238,PA.INSU,Mullidae,BI,40,128 - 256 g,230.6,215,34.3,38.7,267,239,RT/SC,,4,fish,4mm,,
KIF11_239,LU.BOHA,Lutjanidae,AP,40,256 - 512 g,381.5,241,46,43.5,292,270,RT/SC,,30,fish,>30mm,,
KIF11_240,PA.INSU,Mullidae,BI,40,64 - 128 g,116.2,169,27.1,29,211,189,RT/SC,,6,fish,6mm,,
KIF11_241,PA.INSU,Mullidae,BI,40,64 - 128 g,92.9,158,27,27,199,176,RT/SC,,10,fish,10mm,,
KIF11_244,PA.INSU,Mullidae,BI,40,256 - 512 g,426.5,246,38,40.3,305,270,RT/SC,,11,fish,11mm,,
KIF11_247,CE.UROD,Serranidae,Pi,40,64 - 128 g,85.9,134,34.6,35.8,166,None,RT/SC,,16,fish,>16mm,,
KIF11_258,CE.ARGU,Serranidae,AP,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,,89,fish,89,,
KIF11_272,CE.UROD,Serranidae,Pi,15,64 - 128 g,64.5,131,39.8,40.5,157,None,RT/SC,,22,fish,>22mm,,
KIF11_277,CE.UROD,Serranidae,Pi,15,32 - 64 g,57.5,115,36.5,34.4,142,None,RT/SC,,23,fish,>23mm,,
KIF11_396,LU.BOHA,Lutjanidae,AP,38,512 - 1024 g,593.9,263,51.1,58.3,340,310,RT/SC,,129,fish,129mm,,
KIF11_418,LU.BOHA,Lutjanidae,AP,24,128 - 256 g,129,160,30.7,35,209,186,RT/SC,,25,fish,>25mm,,
KIF11_435,PA.INSU,Mullidae,BI,9,128 - 256 g,193.9,194,28.6,28.5,240,217,RT/SC,,26,fish,26,,
KIF11_436,PA.INSU,Mullidae,BI,9,64 - 128 g,109.5,168,20,22.6,206,179,RT/SC,,4,fish,<4mm,,
KIF11_437,PA.INSU,Mullidae,BI,9,128 - 256 g,201.1,195,27.7,23.6,247,212,RT/SC,,26,fish,26,,
KIF11_438,PA.INSU,Mullidae,BI,9,16 - 32 g,19.2,94,11.2,12.4,117,102,RT/SC,,4,fish,<4mm,,
KIF11_474,PA.INSU,Mullidae,BI,11,128 - 256 g,192,199,32.7,31.7,250,218,RT/SC,,25,fish,25,,
KIF11_475,PA.INSU,Mullidae,BI,11,256 - 512 g,317.4,235,28.5,34.9,284,248,RT/SC,,6,fish,6mm,,
KIF11_292,PA.INSU,Mullidae,BI,10,128 - 256 g,218.5,209,32.6,37,267,230,RT/SC,,24,fish,24,,
KIF11_299,PA.INSU,Mullidae,BI,11,256 - 512 g,263.4,219,30.2,33.6,274,242,RT/SC,,34,fish,34,,
KIF11_300,PA.INSU,Mullidae,BI,11,128 - 256 g,131.9,184,25.5,29.4,227,197,RT/SC,,5,fish,<5mm,,
KIF11_301,LU.BOHA,Lutjanidae,AP,10,2.05 - 4.10 kg,2900,454,89,71.2,560,520,RT/SC,,108,fish,>108mm,,
KIF12_050,CA.MELA,Carangidae,AP,8,2.05 - 4.10 kg,2200,490,27.6,19,585,520,RT,,7,fish,7mm fish,,
KIF12_067,LU.BOHA,Lutjanidae,AP,25,128 - 256 g,166,184,33.7,39,236,214,RT,See photos of prey items,8,fish,8mm; 7mm,See photos of prey items,
KIF12_067,LU.BOHA,Lutjanidae,AP,25,128 - 256 g,166,184,33.7,39,236,214,RT,See photos of prey items,7,fish,8mm; 7mm,See photos of prey items,
KIF12_085,CE.ARGU,Serranidae,AP,24,256 - 512 g,300,210,59,62,256.2,None,SC,See photos of prey items,40,fish,40mm,See photos of prey items,
KIF12_106,CA.MELA,Carangidae,AP,3,2.05 - 4.10 kg,2833.1,510,49.6,70,596,540,RT,,130,fish,130 mm TL,,
KIF12_120,LU.BOHA,Lutjanidae,AP,40,32 - 64 g,36.3,109.1,30.3,28.7,141.2,130.8,AB,,20,fish,20mm,,
KIF12_121,LU.BOHA,Lutjanidae,AP,40,128 - 256 g,140,169,39.1,43.1,217,198,LW,,12,fish,12mm,,
KIF12_123,VA.LOUT,Serranidae,AP,40,2.05 - 4.10 kg,2270,458,91,96,580,510,RT,jaw is in rigour mortis; Note: hang balance may have been inaccurate on these - may have to correct via L-W  ,120,fish,120mm,jaw is in rigour mortis; Note: hang balance may have been inaccurate on these - may have to correct via L-W  ,
KIF12_127,AP.VIRE,Lutjanidae,AP,40,1.02 - 2.05 kg,1469,480,61,65,590,510,RT,Note: hang balance may have been inaccurate on these - may have to correct via L-W  ,160,fish,>160mm TL,Note: hang balance may have been inaccurate on these - may have to correct via L-W  ,
KIF12_131,VA.LOUT,Serranidae,AP,30,512 - 1024 g,820,324,65,74.4,430,370,RT,,108,fish,108mmTL,,
KIF12_166,PA.INSU,Mullidae,BI,40,64 - 128 g,85.8,159,13.6,11.3,199,180,AB,,26.3,invert,"shrimp: 26.3mm, 21.6mm",,
KIF12_166,PA.INSU,Mullidae,BI,40,64 - 128 g,85.8,159,13.6,11.3,199,180,AB,,21.6,invert,"shrimp: 26.3mm, 21.6mm",,
KIF12_171,CE.ARGU,Serranidae,AP,40,256 - 512 g,380,134.2,63.9,66.5,138.6,None,MW,,30.1,fish,30.1mm,,
KIF12_174,LU.BOHA,Lutjanidae,AP,30,64 - 128 g,85.6,152,25.1,24.2,192,173,AB,,8,invert,snail: 8.0mm,,
KIF12_178,CE.UROD,Serranidae,Pi,30,32 - 64 g,59,129,31.7,29.6,154,None,MW,,18.7,fish,18.7mm,,
KIF12_183,PA.ARCA,Cirrhitidae,BI,30,8 - 16 g,11.7,69.8,17.8,16.9,86.6,None,AB,,32.6,fish,32.6mm,,
KIF12_207,LU.BOHA,Lutjanidae,AP,40,32 - 64 g,36.6,100.8,30.3,30.7,135.6,123,SC,,20,invert,shrimp 2cm,,
KIF12_211,PA.INSU,Mullidae,BI,33,32 - 64 g,35,114.9,22.2,26.4,143.8,127,AB,,110,fish,11cm,,
KIF12_214,PA.INSU,Mullidae,BI,33,32 - 64 g,59.5,143,23.5,26.6,169,154,AB,,8.6,invert,crab: 8.6mm carapace width,,
KIF12_216,VA.LOUT,Serranidae,AP,27,512 - 1024 g,530,263,65.8,68.3,361.2,310.6,SC,,49,fish,49mm,,
KIF12_294,LU.BOHA,Lutjanidae,AP,3,256 - 512 g,380,240,57.1,57,302,276,SC,,65,fish,65mm,,
KIF12_298,PA.INSU,Mullidae,BI,3,128 - 256 g,137.7,174,31.1,32.5,220,190,SC,,9,invert,crab:9mm ,,
