pk_SpecimenID,SpeciesCode,GuildCode,SpecimenID,SampleID,Treatment,SiteName,Fishing,gh,gw,TLMM,SLMM,FLMM,wt,SizeClass,Notes,notes,TypeCode
2447,AC.NIGR,He,KIF12_153,KIF12_153_1,Non-Acidified,6,HP.LF,8.7,8.5,153.1,120.5,,90.1,64 - 128 g,,,Fish
2304,AC.NIGR,He,KIF12_010,KIF12_010_1,Non-Acidified,30,HP.HF,9.2,6.6,149.6,117.6,,79.8,64 - 128 g,,,Fish
2302,AC.NIGR,He,KIF12_008,KIF12_008_1,Non-Acidified,30,HP.HF,9,6.3,153.2,115.6,,76.7,64 - 128 g,,,Fish
2411,AC.NIGR,He,KIF12_117,KIF12_117_1,Non-Acidified,2,LP.MF,7.3,6,180,100,,44,32 - 64 g,,,Fish
2563,AC.NIGR,He,KIF12_269,KIF12_269_1,Non-Acidified,8,HP.LF,8,8.5,129,97.6,,49.9,32 - 64 g,,,Fish
2446,AC.NIGR,He,KIF12_152,KIF12_152_1,Non-Acidified,6,HP.LF,8.2,7,101.2,78.5,,25.1,16 - 32 g,,,Fish
1423,AC.OLIV,De,KIF11_056,KIF11_056_1,Non-Acidified,27,HP.HF,19,19,320,222,260,418.7,256 - 512 g,,,Fish
1420,AC.OLIV,De,KIF11_053,KIF11_053_1,Non-Acidified,27,HP.HF,13.4,11.7,274,198,238,313.2,256 - 512 g,,,Fish
1522,AC.OLIV,De,KIF11_155,KIF11_155_1,Non-Acidified,33,HP.MF,18,12.2,246,190,220,268.6,256 - 512 g,,,Fish
1479,AC.OLIV,De,KIF11_112,KIF11_112_1,Non-Acidified,27,HP.HF,15.3,11.4,246,190,221,241.9,128 - 256 g,,,Fish
1419,AC.OLIV,De,KIF11_052,KIF11_052_1,Non-Acidified,27,HP.HF,11.6,10.7,218,164,191,167.9,128 - 256 g,,,Fish
1421,AC.OLIV,De,KIF11_054,KIF11_054_1,Non-Acidified,27,HP.HF,14.5,9.4,220,164,214,165.9,128 - 256 g,,,Fish
1525,AC.OLIV,De,KIF11_158,KIF11_158_1,Non-Acidified,27,HP.HF,13.6,10,201,151,181,145.6,128 - 256 g,,,Fish
2534,AP.FURC,Pi,KIF12_240,KIF12_240_1,Non-Acidified,8,HP.LF,54.4,60.4,380,320,,510,256 - 512 g,,,Fish
2533,AP.FURC,Pi,KIF12_239,KIF12_239_1,Non-Acidified,8,HP.LF,60.3,62.4,402,304,,640,512 - 1024 g,,,Fish
2532,AP.FURC,Pi,KIF12_238,KIF12_238_1,Non-Acidified,8,HP.LF,61.5,63.3,372,284,,500,256 - 512 g,,,Fish
2514,AP.FURC,Pi,KIF12_220,KIF12_220_1,Non-Acidified,6,HP.LF,62.3,67,360,283,,525,512 - 1024 g,,,Fish
2582,AP.FURC,Pi,KIF12_288,KIF12_288_1,Non-Acidified,24,LP.MF,62.4,63,360,280,,410,256 - 512 g,,,Fish
2531,AP.FURC,Pi,KIF12_237,KIF12_237_1,Non-Acidified,8,HP.LF,51.1,55.3,354,279,,410,256 - 512 g,,,Fish
2584,AP.FURC,Pi,KIF12_290,KIF12_290_1,Non-Acidified,24,LP.MF,60.6,62.4,362,278,,330,256 - 512 g,,,Fish
2513,AP.FURC,Pi,KIF12_219,KIF12_219_1,Non-Acidified,6,HP.LF,59.5,61,353,271,,480,256 - 512 g,,,Fish
2519,AP.FURC,Pi,KIF12_225,KIF12_225_1,Non-Acidified,6,HP.LF,60.5,63.5,358,270,,480,256 - 512 g,,,Fish
2581,AP.FURC,Pi,KIF12_287,KIF12_287_1,Non-Acidified,24,LP.MF,55,58.3,362,270,,440,256 - 512 g,,,Fish
2515,AP.FURC,Pi,KIF12_221,KIF12_221_1,Non-Acidified,6,HP.LF,57,53.1,336,268,,400,256 - 512 g,,,Fish
2520,AP.FURC,Pi,KIF12_226,KIF12_226_1,Non-Acidified,6,HP.LF,58.8,61.2,344,262,,360,256 - 512 g,,,Fish
2583,AP.FURC,Pi,KIF12_289,KIF12_289_1,Non-Acidified,24,LP.MF,62.4,63,349,261,,410,256 - 512 g,,,Fish
2518,AP.FURC,Pi,KIF12_224,KIF12_224_1,Non-Acidified,6,HP.LF,61.7,57.2,364,258,,460,256 - 512 g,,,Fish
2590,AP.FURC,Pi,KIF12_296,KIF12_296_1,Non-Acidified,3,LP.MF,62.2,62.9,332,253,,385,256 - 512 g,,,Fish
2516,AP.FURC,Pi,KIF12_222,KIF12_222_1,Non-Acidified,6,HP.LF,57.3,59.2,340,252,,410,256 - 512 g,,,Fish
2485,AP.FURC,Pi,KIF12_191,KIF12_191_1,Non-Acidified,19,LP.LF,59.1,54.4,322,249,,420,256 - 512 g,,,Fish
2435,AP.FURC,Pi,KIF12_141,KIF12_141_1,Non-Acidified,40,HP.MF,50.2,56.4,302,236,,205,128 - 256 g,,,Fish
2545,AP.FURC,Pi,KIF12_251,KIF12_251_1,Non-Acidified,15,LP.LF,53,54.3,310,230,,300,256 - 512 g,,,Fish
2665,AP.FURC,Pi,KIF12_371,KIF12_371_1,Non-Acidified,15,LP.LF,52,56,289,226,,250,128 - 256 g,,,Fish
2589,AP.FURC,Pi,KIF12_295,KIF12_295_1,Non-Acidified,3,LP.MF,44.5,45.9,290.2,226,,240,128 - 256 g,,,Fish
2517,AP.FURC,Pi,KIF12_223,KIF12_223_1,Non-Acidified,6,HP.LF,47.8,50.7,286,218,,250,128 - 256 g,otoliths crushed: pieces retaine,,Fish
2548,AP.FURC,Pi,KIF12_254,KIF12_254_1,Non-Acidified,15,LP.LF,50,49.3,271,218,,230,128 - 256 g,,,Fish
2481,AP.FURC,Pi,KIF12_187,KIF12_187_1,Non-Acidified,19,LP.LF,44.5,47,281,215,,275,256 - 512 g,,,Fish
2470,AP.FURC,Pi,KIF12_176,KIF12_176_1,Non-Acidified,30,HP.HF,58.7,51,298,215,,260,256 - 512 g,,,Fish
2547,AP.FURC,Pi,KIF12_253,KIF12_253_1,Non-Acidified,15,LP.LF,51,51.9,290,215,,220,128 - 256 g,,,Fish
2610,AP.FURC,Pi,KIF12_316,KIF12_316_1,Non-Acidified,15,LP.LF,48.8,50,285,214.1,,230,128 - 256 g,1 otolith in pieces,,Fish
2586,AP.FURC,Pi,KIF12_292,KIF12_292_1,Non-Acidified,3,LP.MF,42.4,45.3,272,213,,230,128 - 256 g,,,Fish
2486,AP.FURC,Pi,KIF12_192,KIF12_192_1,Non-Acidified,19,LP.LF,42.4,43.5,271,209,,210,128 - 256 g,,,Fish
2602,AP.FURC,Pi,KIF12_308,KIF12_308_1,Non-Acidified,38,LP.MF,51.4,51.1,264,208,,220,128 - 256 g,,,Fish
2664,AP.FURC,Pi,KIF12_370,KIF12_370_1,Non-Acidified,15,LP.LF,52.2,54.4,273,204,,270,256 - 512 g,,,Fish
2587,AP.FURC,Pi,KIF12_293,KIF12_293_1,Non-Acidified,3,LP.MF,48.5,52.1,259,203,,200,128 - 256 g,,,Fish
2577,AP.FURC,Pi,KIF12_283,KIF12_283_1,Non-Acidified,3,LP.MF,47.3,48.6,258,203,,200,128 - 256 g,crushed otoliths,,Fish
2471,AP.FURC,Pi,KIF12_177,KIF12_177_1,Non-Acidified,30,HP.HF,44.1,49.8,255,202,,200,128 - 256 g,,,Fish
2601,AP.FURC,Pi,KIF12_307,KIF12_307_1,Non-Acidified,38,LP.MF,50.5,50.9,255,196,,200,128 - 256 g,,,Fish
2497,AP.FURC,Pi,KIF12_203,KIF12_203_1,Non-Acidified,30,HP.HF,44.9,52.2,251,193,,210,128 - 256 g,,,Fish
2606,CA.MELA,AP,KIF12_312,KIF12_312_1,Non-Acidified,15,LP.LF,70,82.6,720,595,,3719,2.05 -4.10 kg,,,Fish
2400,CA.MELA,AP,KIF12_106,KIF12_106_1,Non-Acidified,3,LP.MF,49.6,70,596,510,,2833.1,2.05 -4.10 kg,,,Fish
2527,CA.MELA,AP,KIF12_233,KIF12_233_1,Non-Acidified,6,HP.LF,60.2,82.2,580,500,,2676,2.05 -4.10 kg,,,Fish
2542,CA.MELA,AP,KIF12_248,KIF12_248_1,Non-Acidified,15,LP.LF,57,64.8,573,498,,2041,1.02 - 2.05 kg,,,Fish
2605,CA.MELA,AP,KIF12_311,KIF12_311_1,Non-Acidified,15,LP.LF,65,69.2,586,496,,2132,2.05 -4.10 kg,other otolith smashed,,Fish
2344,CA.MELA,AP,KIF12_050,KIF12_050_1,Non-Acidified,8,HP.LF,27.6,19,585,490,,2200,2.05 -4.10 kg,,,Fish
2627,CA.MELA,AP,KIF12_333,KIF12_333_1,Non-Acidified,8,HP.LF,60,75,580,476,,2155,2.05 -4.10 kg,,,Fish
2526,CA.MELA,AP,KIF12_232,KIF12_232_1,Non-Acidified,8,HP.LF,54,74.3,550,460,,1814,1.02 - 2.05 kg,,,Fish
2491,CA.MELA,AP,KIF12_197,KIF12_197_1,Non-Acidified,19,LP.LF,55.8,65.5,530,445,,1980,1.02 - 2.05 kg,,,Fish
2543,CA.MELA,AP,KIF12_249,KIF12_249_1,Non-Acidified,15,LP.LF,52,57.3,510,415,,1361,1.02 - 2.05 kg,,,Fish
2580,CA.MELA,AP,KIF12_286,KIF12_286_1,Non-Acidified,24,LP.MF,44.6,47,368,306,,620,512 - 1024 g,,,Fish
1417,CA.MELA,AP,KIF11_050,KIF11_050_1,Non-Acidified,27,HP.HF,27.6,31,272,223,236,263.3,256 - 512 g,,,Fish
1417,CA.MELA,AP,KIF11_050,KIF11_050_1,Non-Acidified,27,HP.HF,27.6,31,272,223,236,263.3,256 - 512 g,,,Fish
2546,CA.MELA,AP,KIF12_252,KIF12_252_1,Non-Acidified,15,LP.LF,21.4,25,211,179,,126.6,64 - 128 g,,,Fish
1677,CA.TERE,ZP,KIF11_406,KIF11_406_1,Non-Acidified,2,LP.MF,25.8,28.2,342,270,291,470.5,256 - 512 g,no tag in photo,,Fish
1743,CA.TERE,ZP,KIF11_472,KIF11_472_1,Non-Acidified,11,LP.LF,23.5,26.8,301,246,258,353,256 - 512 g,,,Fish
2619,CA.TERE,ZP,KIF12_325,KIF12_325_1,Non-Acidified,15,LP.LF,27.7,31.2,303,244,,390,256 - 512 g,,,Fish
1740,CA.TERE,ZP,KIF11_469,KIF11_469_1,Non-Acidified,11,LP.LF,25.2,24.1,300,240,258,361.4,256 - 512 g,,,Fish
2621,CA.TERE,ZP,KIF12_327,KIF12_327_1,Non-Acidified,15,LP.LF,25.3,30.4,300,240,,310,256 - 512 g,,,Fish
1742,CA.TERE,ZP,KIF11_471,KIF11_471_1,Non-Acidified,11,LP.LF,26.2,22.2,300,238,257,313.5,256 - 512 g,,,Fish
1676,CA.TERE,ZP,KIF11_405,KIF11_405_1,Non-Acidified,2,LP.MF,24.4,22.7,298,237,255,346.1,256 - 512 g,,,Fish
1744,CA.TERE,ZP,KIF11_473,KIF11_473_1,Non-Acidified,11,LP.LF,22.2,20.2,292,232,255,321.5,256 - 512 g,,,Fish
2406,CA.TERE,ZP,KIF12_112,KIF12_112_1,Non-Acidified,2,LP.MF,23.7,21.5,290,229,,270,256 - 512 g,,,Fish
2625,CA.TERE,ZP,KIF12_331,KIF12_331_1,Non-Acidified,15,LP.LF,26.9,27,284,228,,300,256 - 512 g,,,Fish
1687,CA.TERE,ZP,KIF11_416,KIF11_416_1,Non-Acidified,24,LP.MF,23.8,20.8,285,226,248,290.5,256 - 512 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1687,CA.TERE,ZP,KIF11_416,KIF11_416_2,Non-Acidified,24,LP.MF,23.8,20.8,285,226,248,290.5,256 - 512 g,,,Fish
1741,CA.TERE,ZP,KIF11_470,KIF11_470_1,Non-Acidified,11,LP.LF,22.4,24.4,290,225,239,283.5,256 - 512 g,,,Fish
2662,CA.TERE,ZP,KIF12_368,KIF12_368_1,Non-Acidified,15,LP.LF,31.9,27.8,284,220,,280,256 - 512 g,,,Fish
1580,CA.TERE,ZP,KIF11_213,KIF11_213_1,Non-Acidified,15,LP.LF,23.5,20.1,278,217,239,268,256 - 512 g,,,Fish
1580,CA.TERE,ZP,KIF11_213,KIF11_213_1,Non-Acidified,15,LP.LF,23.5,20.1,278,217,239,268,256 - 512 g,,,Fish
2663,CA.TERE,ZP,KIF12_369,KIF12_369_1,Non-Acidified,15,LP.LF,26.4,27.7,280,215,,285,256 - 512 g,,,Fish
2626,CA.TERE,ZP,KIF12_332,KIF12_332_1,Non-Acidified,15,LP.LF,17.7,21.5,264,210,,260,256 - 512 g,,,Fish
1616,CA.TERE,ZP,KIF11_249,KIF11_249_1,Non-Acidified,15,LP.LF,23,20.6,240,185,205,194.7,128 - 256 g,,,Fish
1616,CA.TERE,ZP,KIF11_249,KIF11_249_1,Non-Acidified,15,LP.LF,23,20.6,240,185,205,194.7,128 - 256 g,,,Fish
1620,CA.TERE,ZP,KIF11_253,KIF11_253_1,Non-Acidified,15,LP.LF,16,15,187,148,156,66,64 - 128 g,,,Fish
1581,CA.TERE,ZP,KIF11_214,KIF11_214_1,Non-Acidified,15,LP.LF,13.5,15.2,188,145,163,66,64 - 128 g,,,Fish
1581,CA.TERE,ZP,KIF11_214,KIF11_214_1,Non-Acidified,15,LP.LF,13.5,15.2,188,145,163,66,64 - 128 g,,,Fish
1583,CA.TERE,ZP,KIF11_216,KIF11_216_1,Non-Acidified,15,LP.LF,18,18,185,142,157,63.4,32 - 64 g,,,Fish
1583,CA.TERE,ZP,KIF11_216,KIF11_216_1,Non-Acidified,15,LP.LF,18,18,185,142,157,63.4,32 - 64 g,,,Fish
1582,CA.TERE,ZP,KIF11_215,KIF11_215_1,Non-Acidified,15,LP.LF,18,16.5,183,142,156,63,32 - 64 g,,,Fish
1618,CA.TERE,ZP,KIF11_251,KIF11_251_1,Non-Acidified,15,LP.LF,19,20.4,185,140,154,67.1,64 - 128 g,,,Fish
1675,CA.TERE,ZP,KIF11_404,KIF11_404_1,Non-Acidified,16,LP.LF,18.7,17,173,136,146,55.5,32 - 64 g,,,Fish
1895,CA.TERE,ZP,KIF11_528,KIF11_528_1,,16,LP.LF,8.2,6.3,89.5,71.7,79.3,6.8,4 - 8 g,CHECK WITH ANGELEEN WHY NO TL OR FL FOR THIS FISH,,Fish
1418,CE.ARGU,AP,KIF11_051,KIF11_051_1,Non-Acidified,27,HP.HF,63.4,72.4,395,335,,1193.2,1.02 - 2.05 kg,,,Fish
2579,CE.ARGU,AP,KIF12_285,KIF12_285_1,Non-Acidified,24,LP.MF,96.1,99.7,398,330,,1100,1.02 - 2.05 kg,,,Fish
1485,CE.ARGU,AP,KIF11_118,KIF11_118_1,Non-Acidified,27,HP.HF,63.4,75.5,363,302,,839.2,512 - 1024 g,,,Fish
1485,CE.ARGU,AP,KIF11_118,KIF11_118_1,Non-Acidified,27,HP.HF,63.4,75.5,363,302,,839.2,512 - 1024 g,,,Fish
1529,CE.ARGU,AP,KIF11_162,KIF11_162_1,Non-Acidified,27,HP.HF,58.3,65.2,323,265,,663,512 - 1024 g,,,Fish
1495,CE.ARGU,AP,KIF11_128,KIF11_128_1,Non-Acidified,27,HP.HF,69.7,81,320,265,,518.4,512 - 1024 g,,,Fish
2380,CE.ARGU,AP,KIF12_086,KIF12_086_1,Non-Acidified,24,LP.MF,65,73,308,255,,460,256 - 512 g,,,Fish
1530,CE.ARGU,AP,KIF11_163,KIF11_163_1,Non-Acidified,27,HP.HF,60,61.6,294,247,,528.4,512 - 1024 g,,,Fish
1530,CE.ARGU,AP,KIF11_163,KIF11_163_1,Non-Acidified,27,HP.HF,60,61.6,294,247,,528.4,512 - 1024 g,,,Fish
2376,CE.ARGU,AP,KIF12_082,KIF12_082_1,Non-Acidified,2,LP.MF,70.8,72.1,283,243,,390,256 - 512 g,,,Fish
2388,CE.ARGU,AP,KIF12_094,KIF12_094_1,Non-Acidified,40,HP.MF,59.3,62.7,287,239,,370,256 - 512 g,,,Fish
1486,CE.ARGU,AP,KIF11_119,KIF11_119_1,Non-Acidified,27,HP.HF,65,62.5,284,237,,497.8,256 - 512 g,,,Fish
1625,CE.ARGU,AP,KIF11_258,KIF11_258_1,Non-Acidified,15,LP.LF,60.2,63,278,231,,400.7,256 - 512 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1625,CE.ARGU,AP,KIF11_258,KIF11_258_2,Non-Acidified,15,LP.LF,60.2,63,278,231,,400.7,256 - 512 g,,,Fish
2487,CE.ARGU,AP,KIF12_193,KIF12_193_1,Non-Acidified,19,LP.LF,63.5,67.3,268,225,,305,256 - 512 g,,,Fish
1701,CE.ARGU,AP,KIF11_430,KIF11_430_1,Non-Acidified,30,HP.HF,66.6,66.2,271,224,,354,256 - 512 g,,,Fish
1865,CE.ARGU,AP,KIF11_498,KIF11_498_1,,27,HP.HF,42.1,36.5,260,212,,336.7,256 - 512 g,ID'd by RT on 5-Dec-11,,Fish
2483,CE.ARGU,AP,KIF12_189,KIF12_189_1,Non-Acidified,19,LP.LF,61.3,67.3,256,211.1,,320,256 - 512 g,,,Fish
2379,CE.ARGU,AP,KIF12_085,KIF12_085_1,Non-Acidified,24,LP.MF,59,62,256.2,210,,300,256 - 512 g,See photos of prey items,,Fish
1719,CE.ARGU,AP,KIF11_448,KIF11_448_1,Non-Acidified,30,HP.HF,58,60.3,253,206,,301.3,256 - 512 g,,,Fish
2047,CE.ARGU,AP,KIF11_1088,KIF11_1088_1,,27,HP.HF,45.4,49.3,248,205,,244.7,128 - 256 g,,,Fish
2594,CE.ARGU,AP,KIF12_300,KIF12_300_1,Non-Acidified,3,LP.MF,40,61,262,204,,295,256 - 512 g,,,Fish
2503,CE.ARGU,AP,KIF12_209,KIF12_209_1,Non-Acidified,33,HP.MF,51.7,55.1,246,198,,240,128 - 256 g,,,Fish
2504,CE.ARGU,AP,KIF12_210,KIF12_210_1,Non-Acidified,33,HP.MF,50.6,55.9,231.1,189.7,,200,128 - 256 g,,,Fish
2666,CE.ARGU,AP,KIF12_372,KIF12_372_1,Non-Acidified,15,LP.LF,61,57.2,221,182,,200.6,128 - 256 g,,,Fish
2465,CE.ARGU,AP,KIF12_171,KIF12_171_1,Non-Acidified,40,HP.MF,63.9,66.5,138.6,134.2,,380,256 - 512 g,,,Fish
2478,CE.FLAV,He,KIF12_184,KIF12_184_1,Non-Acidified,40,HP.MF,6.4,5,99.5,79.9,,27,16 - 32 g,,,Fish
2469,CE.FLAV,He,KIF12_175,KIF12_175_1,Non-Acidified,40,HP.MF,4.9,5.4,95.5,74.7,,25,16 - 32 g,,,Fish
2476,CE.FLAV,He,KIF12_182,KIF12_182_1,Non-Acidified,30,HP.HF,5.4,6.2,89.9,70.8,,23.6,16 - 32 g,,,Fish
2479,CE.FLAV,He,KIF12_185,KIF12_185_1,Non-Acidified,40,HP.MF,4.6,3.6,87.6,70.2,,21.8,16 - 32 g,end of afternoon dissections,,Fish
2325,CE.FLAV,He,KIF12_031,KIF12_031_1,Non-Acidified,30,HP.HF,7,4,77.3,60.3,,13.5,8 - 16 g,,,Fish
2364,CE.FLAV,He,KIF12_070,KIF12_070_1,Non-Acidified,30,HP.HF,4.6,3.5,71.5,59.8,,10.3,8 - 16 g,Whole stomach retained,,Fish
2341,CE.FLAV,He,KIF12_047,KIF12_047_1,Non-Acidified,9,HP.MF,3.4,2.2,63.8,50.8,,7.4,4 - 8 g,,,Fish
2365,CE.FLAV,He,KIF12_071,KIF12_071_1,Non-Acidified,25,LP.MF,3.8,2.9,61,47.7,,6,4 - 8 g,,,Fish
2387,CE.UROD,Pi,KIF12_093,KIF12_093_1,Non-Acidified,40,HP.MF,37.9,43.7,217,178,,154,128 - 256 g,,,Fish
2637,CE.UROD,Pi,KIF12_343,KIF12_343_1,Non-Acidified,30,HP.HF,46.8,50.3,218,176,,168.1,128 - 256 g,,,Fish
1395,CE.UROD,Pi,KIF11_028,KIF11_028_1,Non-Acidified,9,HP.MF,37.2,43.9,204,172,,137.7,128 - 256 g,,,Fish
1528,CE.UROD,Pi,KIF11_161,KIF11_161_1,Non-Acidified,27,HP.HF,42.4,47.2,206,170,,168.5,128 - 256 g,,,Fish
1528,CE.UROD,Pi,KIF11_161,KIF11_161_1,Non-Acidified,27,HP.HF,42.4,47.2,206,170,,168.5,128 - 256 g,,,Fish
1613,CE.UROD,Pi,KIF11_246,KIF11_246_1,Non-Acidified,40,HP.MF,47,48.4,208,168,,169,128 - 256 g,,,Fish
2655,CE.UROD,Pi,KIF12_361,KIF12_361_1,Non-Acidified,24,LP.MF,47.4,48,202,167,,151.1,128 - 256 g,,,Fish
1426,CE.UROD,Pi,KIF11_059,KIF11_059_1,Non-Acidified,9,HP.MF,38,44,198,165,,141.7,128 - 256 g,,,Fish
1429,CE.UROD,Pi,KIF11_062,KIF11_062_1,Non-Acidified,9,HP.MF,36.7,42,203,164,,148.8,128 - 256 g,,,Fish
1585,CE.UROD,Pi,KIF11_218,KIF11_218_1,Non-Acidified,10,LP.LF,39,39,195,159,,145.9,128 - 256 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1585,CE.UROD,Pi,KIF11_218,KIF11_218_2,Non-Acidified,10,LP.LF,39,39,195,159,,145.9,128 - 256 g,,,Fish
1402,CE.UROD,Pi,KIF11_035,KIF11_035_1,Non-Acidified,9,HP.MF,39,46,189,155,,125.2,64 - 128 g,sat out on ice for 36 hours before dissection,,Fish
2553,CE.UROD,Pi,KIF12_259,KIF12_259_1,Non-Acidified,15,LP.LF,43.7,11.7,188,155,,111.6,64 - 128 g,,,Fish
1943,CE.UROD,Pi,KIF11_576,KIF11_576_1,,8,HP.LF,36.1,33,187,153,,127.3,64 - 128 g,,,Fish
1481,CE.UROD,Pi,KIF11_114,KIF11_114_1,Non-Acidified,27,HP.HF,33.3,38.6,183,153,,116.2,64 - 128 g,,,Fish
1424,CE.UROD,Pi,KIF11_057,KIF11_057_1,Non-Acidified,9,HP.MF,35.5,40.5,181,151,,109.7,64 - 128 g,,,Fish
1586,CE.UROD,Pi,KIF11_219,KIF11_219_1,Non-Acidified,10,LP.LF,39.2,39,181,148,,108.8,64 - 128 g,,,Fish
1480,CE.UROD,Pi,KIF11_113,KIF11_113_1,Non-Acidified,27,HP.HF,33,37.5,180,148,,97.6,64 - 128 g,,,Fish
2401,CE.UROD,Pi,KIF12_107,KIF12_107_1,Non-Acidified,3,LP.MF,40.6,44.6,182,148,,97.5,64 - 128 g,,,Fish
1579,CE.UROD,Pi,KIF11_212,KIF11_212_1,Non-Acidified,15,LP.LF,39.5,37.6,176,145,,98,64 - 128 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1579,CE.UROD,Pi,KIF11_212,KIF11_212_2,Non-Acidified,15,LP.LF,39.5,37.6,176,145,,98,64 - 128 g,,,Fish
2410,CE.UROD,Pi,KIF12_116,KIF12_116_1,Non-Acidified,2,LP.MF,41.3,40.7,177,144.3,,91.3,64 - 128 g,,,Fish
1796,CE.UROD,Pi,KIF11_333,KIF11_333_1,,10,LP.LF,20.9,18.8,165.4,143.8,,94.5,64 - 128 g,,,Fish
1584,CE.UROD,Pi,KIF11_217,KIF11_217_1,Non-Acidified,10,LP.LF,37.6,36,170,142,,90.1,64 - 128 g,,work study student forgot to remove samples from the oven prior to the christmas break; samples left in the oven were denoted with a '*' on the vial,Fish
1584,CE.UROD,Pi,KIF11_217,KIF11_217_2,Non-Acidified,10,LP.LF,37.6,36,170,142,,90.1,64 - 128 g,,,Fish
1587,CE.UROD,Pi,KIF11_220,KIF11_220_1,Non-Acidified,10,LP.LF,39.5,39.2,167,138,,91.6,64 - 128 g,,,Fish
2412,CE.UROD,Pi,KIF12_118,KIF12_118_1,Non-Acidified,2,LP.MF,38.5,37.4,171.2,137.3,,83,64 - 128 g,,,Fish
1614,CE.UROD,Pi,KIF11_247,KIF11_247_1,Non-Acidified,40,HP.MF,34.6,35.8,166,134,,85.9,64 - 128 g,,,Fish
1483,CE.UROD,Pi,KIF11_116,KIF11_116_1,Non-Acidified,27,HP.HF,30.5,30.5,160,132,,64.9,64 - 128 g,,,Fish
1641,CE.UROD,Pi,KIF11_274,KIF11_274_1,Non-Acidified,15,LP.LF,38.1,36,160,131,,73.9,64 - 128 g,,,Fish
