SpecimenID,Family,Order,Genus,SpeciesCode,j_fg,Site,Region,TL,SL,FL,wt,length(cm),a (cm),b (cm),calc_wt,gh,gw,dissected_by,stomach_contents,prey_size,coll_notes,dis_notes
KIF11_315,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,24,LP.MF,142.9,115.7,125,30.2,,,,,9.8,7.7,KP/AO,small crustaceans <1mm,,,
KIF11_316,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,24,LP.MF,109.2,91.6,97.9,11.9,,,,,7.8,5.9,KP/AO,small crustaceans <1mm,,,
KIF11_317,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,24,LP.MF,137.6,114,122.7,28.3,,,,,8.3,6.4,KP/AO,small crustaceans <1mm,,,
KIF11_318,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,24,LP.MF,130.9,107.2,115,22,,,,,9.8,8.2,KP/AO,small crustaceans <1mm,,,
KIF11_319,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,24,LP.MF,136,11.5,118.8,23,,,,,7.4,6.1,KP/AO,small crustaceans <1mm,,,
KIF11_320,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,103.2,85.5,91.3,9,,,,,7.2,5,KP,empty,,,
KIF11_321,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,103.8,84.9,91.9,10.2,,,,,8.6,5.6,KP,empty,,,
KIF11_322,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,92.3,72.1,81.2,6.6,,,,,10,6.3,KP,empty,,,
KIF11_323,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,97.3,82.5,85.6,9.2,,,,,10.6,5.6,KP,empty,,,
KIF11_325,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,92.9,73.8,81,6.6,,,,,13,5.6,KP,empty,,,
KIF11_326,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,80.4,68.2,75.5,4.9,,,,,9.1,5.5,KP,empty,,tail broken off,tail broken off
KIF11_327,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,98.3,78.1,84.8,8.3,,,,,10,6.2,KP,empty,,,
KIF11_328,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,32,HP.HF,91.4,79.3,84.5,7.4,,,,,7.8,8.8,KP,empty,,tail broken,tail broken
KIF11_340,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,11,LP.LF,183,149,162,77.1,,,,,17,14,KP,empty,,,
KIF11_341,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,11,LP.LF,209,168,182,105.2,,,,,17,14.5,KP,empty,,both otoliths broken,both otoliths broken
KIF11_342,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,11,LP.LF,195,162,171,88.9,,,,,15.5,13.1,KP,empty/intestine full,,shot through eye,shot through eye
KIF11_343,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,11,LP.LF,232,191,203,167.2,,,,,17.8,14,KP,empty/intestine full,,1 otolith broken,1 otolith broken
KIF11_345,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,11,LP.LF,184,155,166,84.8,,,,,15.2,13.3,KP,empty/intestine full,,,
KIF11_495,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,30,HP.HF,86,72,72.8,5.4,,,,,7.2,5.6,AO/KP,small crustaceans <1mm,,,
KIF11_496,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,30,HP.HF,,73.7,,6,,,,,9.2,7.1,AO/KP,small crustaceans <1mm,,broken tail,broken tail
KIF11_516,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,2,LP.MF,,95.2,,14.9,,,,,7.5,5.1,AO,small crustaceans <1mm,,tail broken,tail broken
KIF11_517,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,2,LP.MF,,57.2,,3.7,,,,,6.5,4.9,AO,,,CHECK WITH ANGELEEN WHY NO TL OR FL FOR THIS FISH,CHECK WITH ANGELEEN WHY NO TL OR FL FOR THIS FISH
KIF11_526,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,16,LP.LF,94.2,77.8,81.7,6.2,,,,,5.8,4,AO,small crustaceans <1mm,,,
KIF11_527,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,16,LP.LF,89.9,73.9,79.3,5.7,,,,,6.9,5.4,AO,small crustaceans <1mm,,,
KIF11_1077,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,30,HP.HF,,70.3,75.8,4.8,,,,,5.5,3.1,AO/KP,whole stomach retained,,tail broken,tail broken
KIF11_1078,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,30,HP.HF,90.9,71,82.4,6.8,,,,,6,3.3,AO/KP,whole stomach retained,,,
KIF11_1079,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,30,HP.HF,78.3,65.7,70,4.6,,,,,6.1,3,AO/KP,whole stomach retained,,,
KIF12_227,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,6,HP.LF,191,155,171,88.1,,,,,21.6,16.1,AB,gutshot,,,
KIF12_265,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,40,HP.MF,170.3,137,151.5,62.5,,,,,16.9,14.7,Ab,empty gut,,,
KIF12_284,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,40,HP.MF,226,185,202,145.4,,,,,18,18.8,AB,mushed crustacean remains,,,
KIF12_318,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,15,LP.LF,142,116.6,123.3,28.6,,,,,10.5,10.8,RT,,,otoliths in fragments,otoliths in fragments
KIF12_320,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,15,LP.LF,169,136.2,149,51.3,,,,,15.7,14,SC,pulverized little crustaceans,,,
KIF12_355,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,6,HP.LF,220,181,190,126.4,,,,,13.5,16.7,RT,crustacean goop,,,
KIF12_356,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,6,HP.LF,159.5,130.7,139.5,51,,,,,15,16.4,AB,orange mush,,,
KIF12_357,Caesionidae,Perciformes,Pterocaesio,PT.TILE,ZP,6,HP.LF,249,202,219,197.4,,,,,21.6,22,SC,mushed up crustaceans,,both otoliths broken,both otoliths broken
KIF11_084,,,Scarus,SC.FREN,He,3,LP.MF,315,265,295,574.8,,,,,31,23.6,RT,,,,
KIF11_039,,,Scarus,SC.FREN,He,8,HP.LF,285,245,,409.1,,,,,21.3,14,RT,gut speared; no stomach to sample,,,
KIF11_040,,,Scarus,SC.FREN,He,8,HP.LF,365,285,340,840.4,,,,,24.4,19.6,RT,"typical parrotfish gut content; highly reticulated intestines, difficult to see stomach",,,
KIF11_087,,,Scarus,SC.FREN,He,35,HP.LF,325,262,305,602.5,,,,,27.3,17.3,RT,parrotfish grit,,,
KIF11_088,,,Scarus,SC.FREN,He,35,HP.LF,346,265,323,734.6,,,,,36,25,SC,parrotfish goo,,,
KIF11_102,,,Scarus,SC.FREN,He,15,LP.LF,477,370,435,1954,,,,,41,25.5,RT,typical scarid goop,,,
KIF11_103,,,Scarus,SC.FREN,He,15,LP.LF,375,312,355,850.1,,,,,31,18.4,,typical scarid goop,,,
KIF11_110,,,Scarus,SC.FREN,He,19,LP.LF,430,322,378,1234.6,,,,,39,25.1,,scarid goop,,,
KIF11_156,,,Scarus,SC.FREN,He,34,HP.LF,333,262,323,589.6,,,,,31.6,21.7,,scarid shit,,,
KIF11_157,,,Scarus,SC.FREN,He,34,HP.LF,217,180,215,201.5,,,,,17.1,14.6,,scarid shit,,,
KIF11_186,,,Scarus,SC.FREN,He,35,HP.LF,338,263,316,687.4,,,,,33.1,19.1,,typical scarid grit,,,
KIF11_187,,,Scarus,SC.FREN,He,35,HP.LF,300,252,286,557.1,,,,,23.1,20.4,,typical scarid grit,,,
KIF11_188,,,Scarus,SC.FREN,He,35,HP.LF,317,255,307,622.3,,,,,39.5,21.5,,typical scarid grit,,,
KIF11_190,,,Scarus,SC.FREN,He,3,LP.MF,411,315,382,1329,,,,,43.8,25.2,RT/SC,typical scarid goop,,,
KIF11_196,,,Scarus,SC.FREN,He,2,LP.MF,255,273,330,803.5,,,,,34.8,22,RT/SC,typical scarid goop,,,
KIF11_197,,,Scarus,SC.FREN,He,2,LP.MF,320,260,316,601.5,,,,,35.5,18.7,RT/SC,typical scarid goop,,,
KIF11_206,,,Scarus,SC.FREN,He,3,LP.MF,410,316,371,1204,,,,,37.6,23.3,RT/SC,typical scarid goop,,"gut shot, so weight is a minimum; gut sample sat out for a couple of days","gut shot, so weight is a minimum; gut sample sat out for a couple of days"
KIF11_223,,,Scarus,SC.FREN,He,15,LP.LF,410,328,390,1343.5,,,,,42.2,27.1,RT/SC,scarid shit,,,
KIF11_254,,,Scarus,SC.FREN,He,40,HP.MF,265,235,260,368.8,,,,,24.4,14,RT/SC,scarid shit,,,
KIF11_256,,,Scarus,SC.FREN,He,40,HP.MF,400,315,368,999.3,,,,,36,20.9,RT/SC,scarid shit,,,
KIF11_264,,,Scarus,SC.FREN,He,3,LP.MF,342,275,332,646.1,,,,,42.1,27.9,RT/SC,scarid shit,,,
KIF11_279,,,Scarus,SC.FREN,He,3,LP.MF,319,268,310,627.9,,,,,30,18.3,RT/SC,scarid shit,,,
KIF11_281,,,Scarus,SC.FREN,He,3,LP.MF,259,216,254,401.6,,,,,39.5,23,RT/SC,scarid shit,,,
KIF11_401,,,Scarus,SC.FREN,He,38,LP.MF,350,274,328,806.7,,,,,43,23,RT/SC,scarid shit,,,
KIF11_408,,,Scarus,SC.FREN,He,24,LP.MF,278,322,266,423.8,,,,,32.3,17.1,RT/SC,scarid shit,,,
KIF11_409,,,Scarus,SC.FREN,He,24,LP.MF,422,335,396,1130.9,,,,,44,28,RT/SC,scarid shit,,,
KIF11_415,,,Scarus,SC.FREN,He,24,LP.MF,299,243,288,547,,,,,34,21.9,RT/SC,scarid shit,,,
KIF11_446,,,Scarus,SC.FREN,He,40,HP.MF,395,301,365,1128.5,,,,,46.6,25,RT/SC,scarid shit,,,
KIF11_457,,,Scarus,SC.FREN,He,9,HP.MF,300,239,289,364.6,,,,,35.1,18.5,RT/SC,gut completely gone,,"gut completely gone and no pectorals, fin clip from tail","gut completely gone and no pectorals, fin clip from tail"
KIF11_458,,,Scarus,SC.FREN,He,9,HP.MF,313,252,301,513,,,,,40.4,21.1,RT/SC,,,,
KIF11_459,,,Scarus,SC.FREN,He,9,HP.MF,296,235,284,463.5,,,,,36.3,19.1,RT/SC,,,,
KIF11_466,,,Scarus,SC.FREN,He,9,HP.MF,315,255,308,637.2,,,,,39.4,20.8,RT/SC,,,,
KIF11_467,,,Scarus,SC.FREN,He,9,HP.MF,222,180,219,220.7,,,,,21.7,14.7,RT/SC,,,,
KIF11_468,,,Scarus,SC.FREN,He,9,HP.MF,349,272,321,773.9,,,,,38,21.7,RT/SC,,,,
KIF11_476,,,Scarus,SC.FREN,He,10,LP.LF,335,271,326,641,,,,,37,19.7,RT/SC,,,,
KIF11_477,,,Scarus,SC.FREN,He,10,LP.LF,336,270,324,722.5,,,,,39.5,22.3,RT/SC,,,,
KIF11_478,,,Scarus,SC.FREN,He,10,LP.LF,344,278,330,867,,,,,31.3,23.1,RT/SC,,,,
KIF11_295,,,Scarus,SC.FREN,He,11,LP.LF,349,280,336,846.4,,,,,36.1,22.4,RT/SC,empty,,,
KIF11_296,,,Scarus,SC.FREN,He,11,LP.LF,307,241,207,537.5,,,,,32.7,21.4,RT/SC,,,,
KIF11_297,,,Scarus,SC.FREN,He,11,LP.LF,284,225,278,388.2,,,,,33.6,16,RT/SC,,,,
KIF11_1087,,,Scarus,SC.FREN,He,30,HP.HF,117,108,115,28.9,,,,,7.3,7.2,AO/KP,whole stomach retained,,,
KIF12_048,,,Scarus,SC.FREN,He,9,HP.MF,290,261,287,460,,,,,6.8,9.9,AB,green goop,NA,These gape sizes seem totally off (likely measured incorrectly by AB),These gape sizes seem totally off (likely measured incorrectly by AB)
KIF12_049,,,Scarus,SC.FREN,He,9,HP.MF,285.5,225,277.3,380,,,,,32.5,19.1,SC,,NA,,
KIF12_271,,,Scarus,SC.FREN,He,8,HP.LF,298,230,287,490,,,,,32,21.4,LW,brown shit,,**check species in photo,**check species in photo
KIF12_302,,,Scarus,SC.FREN,He,3,LP.MF,231,185,227,200,,,,,26.9,15.2,SC,parrotfish shit,,,
KIF12_329,,,Scarus,SC.FREN,He,15,LP.LF,323,267,312,620,,,,,41.9,28.5,AB,green parrot shit,,,
KIF12_373,,,Scarus,SC.FREN,He,15,LP.LF,295,243,290,500,,,,,31.8,20.1,LW,parrot shit,,,
KIF12_374,,,Scarus,SC.FREN,He,24,LP.MF,302,253,297,560,,,,,39.1,19.9,AB,parrot shit,,,
KIF12_375,,,Scarus,SC.FREN,He,24,LP.MF,293,236,288,505,,,,,36.3,28.5,LW,brown shit,,,
KIF12_376,,,Scarus,SC.FREN,He,24,LP.MF,281,235,275,480,,,,,37.2,23.5,AB,parrot shit,,otoliths in fragments,otoliths in fragments
KIF11_076,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,300,235,274,445.1,,,,,48.5,32.9,RT,empty; hindgut: mollusk and crustacean parts,,,
KIF11_014,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,34,HP.LF,225,174,194,180,,,,,32.13,27.15,SC,gastropod shells,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_016,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,34,HP.LF,241,186,208,253.1,,,,,37.29,32.92,SC,undigested shells and urchin spines in hind gut,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_021,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,290,227,253,462.8,,,,,38.39,36.09,SC,"mollusc shells, gastropods, apparently chiton plates",,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_022,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,283,217,245,483.8,,,,,36.55,36.99,RT,urchin and mollusk fragments in hindgut; stomach empty,,"sat out on ice for 36 hours before dissection; no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","sat out on ice for 36 hours before dissection; no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_023,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,221,170,198,189.4,,,,,28.32,27.96,SC,unidentifiable grainy pieces,,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_024,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,265,206,230,351.4,,,,,30.47,32.15,SC,"urchin (E.mat) spines in hindgut, goop in stomach",,"no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018","no label in photo, photos on JKB's G12 in order fish were processed IMG_0986 to IMG_1018"
KIF11_032,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,9,HP.MF,288,220,252,450,,,,,48,43,SC,"gastropod and crustacean bits, urchin spines",,sat out on ice for 36 hours before dissection,sat out on ice for 36 hours before dissection
KIF11_043,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,6,HP.LF,350,275,305,691.1,,,,,44.7,39.2,RT,"stomach empty; hindgut full of hard parts (crabs, mollusks)",,,
KIF11_066,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,219,172,195,170.6,,,,,27.9,24,SC,stomach empty; gut full of tiny gastropod shells and crustacean bits,,,
KIF11_068,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,253,200,223,286.4,,,,,37.6,30.1,SX,"stomach empty; intestines - > urchin spines, mollusk shell, sand, shells",,,
KIF11_072,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,30,HP.HF,228,179,202,198.9,,,,,20.6,20,JB,stomach empty; hindgut urchin; crustacean appendage; other gritty bits/shells,,,
KIF11_107,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,19,LP.LF,290,236,250,404.1,,,,,27,21.2,,"nothin identifiable, hindgut - gastropod",,,
KIF11_120,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,271,210,239,400,,,,,37.2,29.6,,"empty - gut gastropod shells, crustacean bits",,,
KIF11_132,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,290,225,252,437.8,,,,,49,40.1,,stomach - small amount of snot; intestine - gastropod shells,,,
KIF11_159,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,243,187,212,257.3,,,,,29.2,30.1,,"stomach empty, hindgut = crab and gastropod remains",,,
KIF11_166,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,265,210,230,309.1,,,,,31.2,29.5,,"empty (goo retained), hind gut w/ gastropod remains",,,
KIF11_173,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,35,HP.LF,171,129,145,81.5,,,,,19.7,20.2,,"stomach empty, gut full of sandy grit",,,
KIF11_229,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,246,187,214,257.4,,,,,37.3,30,RT/SC,snot and shell fragments,,,
KIF11_230,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,209,167,187,164.1,,,,,25.8,25.5,RT/SC,empty,,,
KIF11_231,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,173,125,149,92.5,,,,,27.4,21.2,RT/SC,snot,,,
KIF11_232,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,284,218,245,345.4,,,,,31.1,30.1,RT/SC,snot,,,
KIF11_233,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,273,205,235,366,,,,,39.7,36,RT/SC,empty,,,
KIF11_234,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,260,196,221,270,,,,,33,30.1,RT/SC,empty,,,
KIF11_235,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,286,215,253,381.5,,,,,43.7,38.9,RT/SC,snot,,,
KIF11_236,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,260,200,227,277.5,,,,,28.8,25,RT/SC,snot,,,
KIF11_263,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,299,228,262,457.8,,,,,41.3,29.9,RT/SC,unidentifiable snot,,,
KIF11_278,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,265,202,235,339.8,,,,,37.8,30.5,RT/SC,"empty, gutshot",,,
KIF11_390,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,273,211,243,362.2,,,,,42.1,31.9,RT/SC,snot,,,
KIF11_391,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,275,214,238,364.1,,,,,44,35.6,RT/SC,snot,,,
KIF11_392,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,283,218,148,379.7,,,,,47.3,43,RT/SC,snot,,,
KIF11_393,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,256,199,223,337.5,,,,,41.3,35.1,RT/SC,snot,,,
KIF11_394,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,279,216,350,377.8,,,,,44,31,RT/SC,snot and shell,,,
KIF11_395,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,275,208,239,347.2,,,,,31.5,33,RT/SC,SNOT,,,
KIF11_397,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,38,LP.MF,258,201,218,321.6,,,,,42.1,35.3,RT/SC,snot,,,
KIF11_400,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,24,LP.MF,399,311,360,1090.8,,,,,65,46.6,RT/SC,"snot, many urchin spines in lower gut (E. mat and D.sav)",,,
KIF11_402,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,16,LP.LF,275,210,254,375.2,,,,,40.7,38.6,RT/SC,snot,,,
KIF11_403,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,16,LP.LF,310,235,270,475.8,,,,,49.5,31.7,RT/SC,empty,,,
KIF11_407,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,24,LP.MF,303,232,265,513.2,,,,,43,40,RT/SC,snott,,,
KIF11_423,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,278,213,244,430.6,,,,,46.6,27.6,RT/SC,snot,,,
KIF11_424,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,277,211,239,355.2,,,,,43.1,27.5,RT/SC,snot,,,
KIF11_426,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,280,219,250,404.8,,,,,38,27.8,RT/SC,snot,,,
KIF11_432,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,30,HP.HF,256,199,228,295.4,,,,,34.6,27,RT/SC,snot,,,
KIF11_440,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,301,232,268,468.5,,,,,31.3,29.1,RT/SC,snot,,,
KIF11_441,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,276,210,240,364,,,,,37,23.2,RT/SC,snot,,,
KIF11_442,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,27,HP.HF,262,202,230,339,,,,,34,26.2,RT/SC,snot,,,
KIF11_445,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,8,HP.LF,268,204,235,336.2,,,,,34.8,33.3,RT/SC,snot,,,
KIF11_455,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,26,EXTRA,280,219,251,441.4,,,,,40.6,28.5,RT/SC,e.mat spines lower gut,,"Original site notation: 26/25, so either between these two sites, or not sure of which one.","Original site notation: 26/25, so either between these two sites, or not sure of which one."
KIF11_293,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,10,LP.LF,280,225,245,370,,,,,42,39.4,RT/SC,empty,,,
KIF11_294,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,11,LP.LF,269,206,236,333.3,,,,,31.3,34.2,RT/SC,empty,,,
KIF11_578,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,8,HP.LF,255,203,228,329.1,,,,,33,23.4,KP,sludge,,CHECK WITH AO/KELSEA FOR WHETHER PHOTO 578 IS CORRECT,CHECK WITH AO/KELSEA FOR WHETHER PHOTO 578 IS CORRECT
KIF12_029,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,30,HP.HF,171.5,124.2,140.6,67.1,,,,,20.8,16.5,SC,small white hard bits -> possibly gastropod; shell fragments,NA,,
KIF12_105,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,3,LP.MF,245.4,186,215,290,,,,,38.6,28.3,SC,snot and a fish scale,NA,,
KIF12_113,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,2,LP.MF,300,234,271,400,,,,,40,34.9,RT,empty stomach - lower intestines urchin remains,NA,,
KIF12_128,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,30,HP.HF,160.5,120.8,146.7,62.5,,,,,20.6,21.3,AB,,NA,,
KIF12_140,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,40,HP.MF,283,224,264,400,,,,,43.2,38.3,AB,crustacean remains,NA,OTOLITH DESTROYED,OTOLITH DESTROYED
KIF12_156,Lethrinidae,Perciformes,Monotaxis,MO.GRAN,BI,6,HP.LF,245,196,225,200,,,,,43.1,33.1,AB,empty stomach,NA,,
